Altium Designer Pick and Place Locations
C:\Application\hardware\pca10095\trunk\production_files\400432_pick_and_place.csv

========================================================================================================================
File Design Information:

Date:       17.09.19
Time:       08:52
Revision:   17128
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"L8","0R","TopLayer","RESC0603X03L_C","121.2261","38.3967","0","Resistor, ±5%, 0.05W"
"C72","N.C.","TopLayer","CAPC0603X03L_C","122.0978","38.8564","270","Not mounted"
"Bat1","Bat Holder CR2032","BottomLayer","L-KLS5-CR2032-23-B1","12.6746","31.7500","90","Bat Holder CR2032 SMD"
"R41","100k","TopLayer","RESC0603X03L_C","42.1069","15.5856","90","Resistor, ±1%, 0.05W"
"R40","100k","TopLayer","RESC0603X03L_C","40.9766","15.5856","270","Resistor, ±1%, 0.05W"
"R29","0R","TopLayer","RESC0603X03L_C","53.6194","24.1300","0","Resistor, ±5%, 0.05W"
"R76","150R","TopLayer","RESC0603X03L_C","53.6194","27.6352","0","Resistor, ±1%, 0.05W"
"R75","205R","TopLayer","RESC0603X03L_C","51.3080","44.5516","270","Resistor, ±1%, 0.05W"
"L2","15nH","TopLayer","INDC0603X03L_C","116.4775","44.3639","90","Inductor, 250mA, ±5%"
"U1","nRF5340-QKAA","TopLayer","AQFN40P700X700X85_HS-99N","116.0776","37.3888","360","Multi-protocol Bluetooth Low Energy, IEEE 802.15.4, ANT and 2.4GHz proprietary system-on-chip"
"C8","4.7µF","TopLayer","CAPC1608X06L","111.7776","43.4438","90","Capacitor, X7S, ±10%"
"L3","10µH","TopLayer","INDC1608X06L","119.0526","43.4638","180","Inductor, 250mA, ±20%, 1.05ohm. -55°C ~ 125°C"
"L4","15nH","TopLayer","INDC0603X03L_C","120.6275","43.4639","90","Inductor, 250mA, ±5%"
"L5","10µH","TopLayer","INDC1608X06L","108.9026","37.4638","90","Inductor, 250mA, ±20%, 1.05ohm. -55°C ~ 125°C"
"C5","1.0µF","TopLayer","CAPC1005X04L","113.2276","43.2138","270","Capacitor, X5R, ±5%, 6.3V"
"C4","1.0µF","TopLayer","CAPC1005X04L","115.8276","43.3438","360","Capacitor, X5R, ±5%"
"L1","10µH","TopLayer","INDC1608X06L","114.9276","44.3638","180","Inductor, 250mA, ±20%, 1.05ohm. -55°C ~ 125°C"
"C2","1.0µF","TopLayer","CAPC1005X04L","119.6026","42.4388","360","Capacitor, X5R, ±5%"
"C3","1.0µF","TopLayer","CAPC1005X04L","117.3526","43.2638","90","Capacitor, X5R, ±5%"
"C7","4.7µF","TopLayer","CAPC1608X06L","110.6526","43.4438","90","Capacitor, X7S, ±10%"
"C25","100nF","TopLayer","CAPC0603X03L_C","120.9276","41.8638","360","Capacitor, X5R, ±10%"
"R39","100k","TopLayer","RESC0603X03L_C","53.8988","32.9946","90","Resistor, ±1%, 0.05W"
"R37","100k","TopLayer","RESC0603X03L_C","53.3146","32.9946","90","Resistor, ±1%, 0.05W"
"R34","100k","TopLayer","RESC0603X03L_C","60.2488","28.7020","270","Resistor, ±1%, 0.05W"
"R32","100k","TopLayer","RESC0603X03L_C","60.8076","28.7020","270","Resistor, ±1%, 0.05W"
"R10","10k","TopLayer","RESC0603X03L_C","31.4452","16.6116","270","Resistor, ±1%, 0.05W"
"Q4","PMCPB5530","TopLayer","PMCPB5530X","33.5534","19.0754","90","Mosfet Array N and P-Channel 20V 4A (Ta), 3.4A (Ta) 490mW Surface Mount 6-HUSON-EP (2x2)"
"R13","1M0","TopLayer","RESC0603X03L_C","40.4114","15.5856","270","Resistor, ±1%, 0.05W"
"U2","MK22FN128VLL10","TopLayer","TSQFP50P1600X1600X160-100N","43.6626","25.6286","270","100MHz Cortex-M4F Performance MCU, 128kB Flash, 24kB SRAM, Full-Speed USB"
"U8","DG2034EDN","TopLayer","DG2034EDN","51.1075","36.9605","270","POWER DOWN FAULT PROTECTED,1.8VT"
"R38","150R","TopLayer","RESC0603X03L_C","53.6194","31.8416","360","Resistor, ±1%, 0.05W"
"R36","1M0","TopLayer","RESC0603X03L_C","53.6194","30.8792","360","Resistor, ±1%, 0.05W"
"R35","150R","TopLayer","RESC0603X03L_C","53.6194","30.1327","360","Resistor, ±1%, 0.05W"
"R33","150R","TopLayer","RESC0603X03L_C","53.6194","29.5641","360","Resistor, ±1%, 0.05W"
"R31","1M0","TopLayer","RESC0603X03L_C","53.6194","28.7541","360","Resistor, ±1%, 0.05W"
"R30","150R","TopLayer","RESC0603X03L_C","53.6194","28.1981","360","Resistor, ±1%, 0.05W"
"R28","150R","TopLayer","RESC0603X03L_C","53.6194","26.5302","360","Resistor, ±1%, 0.05W"
"R27","150R","TopLayer","RESC0603X03L_C","53.6194","25.1360","360","Resistor, ±1%, 0.05W"
"R25","150R","TopLayer","RESC0603X03L_C","53.6194","22.6314","360","Resistor, ±1%, 0.05W"
"R23","150R","TopLayer","RESC0603X03L_C","53.6194","21.6831","360","Resistor, ±1%, 0.05W"
"R22","150R","TopLayer","RESC0603X03L_C","53.6194","21.1328","360","Resistor, ±1%, 0.05W"
"R21","150R","TopLayer","RESC0603X03L_C","53.6194","20.5825","360","Resistor, ±1%, 0.05W"
"R19","150R","TopLayer","RESC0603X03L_C","53.6194","19.6342","360","Resistor, ±1%, 0.05W"
"R18","150R","TopLayer","RESC0603X03L_C","48.6410","15.5856","270","Resistor, ±1%, 0.05W"
"R17","150R","TopLayer","RESC0603X03L_C","47.6758","15.5856","270","Resistor, ±1%, 0.05W"
"R16","33R","TopLayer","RESC0603X03L_C","44.6118","35.9976","270","Resistor, ±1%, 0.05W"
"R15","33R","TopLayer","RESC0603X03L_C","45.2134","35.9976","270","Resistor, ±1%, 0.05W"
"R14","150R","TopLayer","RESC0603X03L_C","41.5417","15.5856","270","Resistor, ±1%, 0.05W"
"R11","120R","TopLayer","RESC0603X03L_C","32.1564","21.2852","90","Resistor, ±1%, 0.05W"
"R12","N.C.","TopLayer","RESC0603X03L_C","32.0294","16.6116","90","Not mounted"
"R9","10k","TopLayer","RESC0603X03L_C","12.5616","57.7850","270","Resistor, ±1%, 0.05W"
"R8","10k","TopLayer","RESC0603X03L_C","8.6256","57.1754","270","Resistor, ±1%, 0.05W"
"R7","10k","TopLayer","RESC0603X03L_C","11.7094","54.8640","180","Resistor, ±1%, 0.05W"
"R26","10k","TopLayer","RESC0603X03L_C","10.3124","58.5724","360","Resistor, ±1%, 0.05W"
"R54","0R","TopLayer","RESC0603X03L_C","109.2454","43.1800","90","Resistor, ±5%, 0.05W"
"R53","0R","TopLayer","RESC0603X03L_C","109.8042","43.1800","90","Resistor, ±5%, 0.05W"
"Q3","PMCPB5530","TopLayer","PMCPB5530X","33.5534","16.7460","180","Mosfet Array N and P-Channel 20V 4A (Ta), 3.4A (Ta) 490mW Surface Mount 6-HUSON-EP (2x2)"
"Q2","PMCPB5530","TopLayer","PMCPB5530X","10.6767","56.8198","180","Mosfet Array N and P-Channel 20V 4A (Ta), 3.4A (Ta) 490mW Surface Mount 6-HUSON-EP (2x2)"
"Q1","PMCPB5530","TopLayer","PMCPB5530X","10.6767","60.0964","270","Mosfet Array N and P-Channel 20V 4A (Ta), 3.4A (Ta) 490mW Surface Mount 6-HUSON-EP (2x2)"
"LED5","L0603G","TopLayer","LED_0603_G","31.8262","19.4564","90","LED, Green, 0603, 570nm, Vf=1.7V, 2.24..5.6mcd, - 40 to +100°C"
"C40","10nF","TopLayer","CAPC0603X03L_C","35.9918","16.5608","360","Capacitor, X7R, ±10%"
"C39","100nF","TopLayer","CAPC0603X03L_C","43.6118","34.7218","180","Capacitor, X5R, ±10%"
"C38","100nF","TopLayer","CAPC0603X03L_C","46.4566","34.9150","180","Capacitor, X5R, ±10%"
"C37","100nF","TopLayer","CAPC0603X03L_C","34.5186","24.9074","270","Capacitor, X5R, ±10%"
"C36","100nF","TopLayer","CAPC0603X03L_C","34.5186","20.9196","270","Capacitor, X5R, ±10%"
"C35","100nF","TopLayer","CAPC0603X03L_C","42.6720","15.5856","90","Capacitor, X5R, ±10%"
"C34","100nF","TopLayer","CAPC0603X03L_C","49.4030","16.3830","180","Capacitor, X5R, ±10%"
"C33","100nF","TopLayer","CAPC0603X03L_C","52.7812","25.8218","90","Capacitor, X5R, ±10%"
"C32","100nF","TopLayer","CAPC0603X03L_C","34.5186","29.9112","270","Capacitor, X5R, ±10%"
"C31","4.7µF","TopLayer","CAPC1005X04L","39.3954","34.9912","180","CAP CER 4.7UF 10V X5R 0402"
"C30","100nF","TopLayer","CAPC0603X03L_C","48.5902","37.7444","90","Capacitor, X5R, ±10%"
"C27","1.2pF","TopLayer","CAPC1005X04L","129.6670","39.2176","90","Capacitor, NP0, ±0.1pF"
"J1","MM8130-2600","TopLayer","COAXIAL-SWF","127.4234","38.3912","90","Coaxial Connector with Switch"
"C1","100nF","TopLayer","CAPC0603X03L_C","118.0966","41.6888","0","Capacitor, X5R, ±10%"
"C6","2.2µF","TopLayer","CAPC1608X06L","110.0776","37.0638","90","Capacitor, X7R, ±10%"
"C9","820pF","TopLayer","CAPC0603X03L_C","120.8776","34.7888","180","Capacitor, X7R, ±10%"
"C10","100pF","TopLayer","CAPC0603X03L_C","121.2776","40.0388","90","Capacitor, NP0, ±2%"
"C11","1.0µF","TopLayer","CAPC1005X04L","115.2776","42.4938","360","Capacitor, X5R, ±5%"
"C12","0.7pF","TopLayer","CAPC0603X03L_C","120.3776","38.6888","270","Capacitor, NP0, ±0.05pF"
"C13","100nF","TopLayer","CAPC0603X03L_C","111.0776","40.4888","90","Capacitor, X5R, ±10%"
"C14","100nF","TopLayer","CAPC0603X03L_C","109.9576","35.3068","180","Capacitor, X5R, ±10%"
"C15","N.C.","TopLayer","CAPC0603X03L_C","111.0526","32.2888","180","Not mounted"
"C16","100nF","TopLayer","CAPC0603X03L_C","112.1276","32.3138","270","Capacitor, X5R, ±10%"
"C17","N.C.","TopLayer","CAPC0603X03L_C","113.3776","32.3138","270","Not mounted"
"C18","N.C.","TopLayer","CAPC0603X03L_C","114.6276","32.3138","270","Not mounted"
"C19","100nF","TopLayer","CAPC0603X03L_C","115.8776","32.3138","270","Capacitor, X5R, ±10%"
"C20","N.C.","TopLayer","CAPC0603X03L_C","117.4276","32.3138","270","Not mounted"
"C21","100nF","TopLayer","CAPC0603X03L_C","119.2276","32.3138","270","Capacitor, X5R, ±10%"
"C22","N.C.","TopLayer","CAPC0603X03L_C","120.8786","34.1884","360","Not mounted"
"C23","100nF","TopLayer","CAPC0603X03L_C","120.8786","37.2618","360","Capacitor, X5R, ±10%"
"C24","100nF","TopLayer","CAPC0603X03L_C","120.7276","40.0388","270","Capacitor, X5R, ±10%"
"C26","4.7µF","TopLayer","CAPC1608X06L","110.4776","39.2888","180","Capacitor, X7S, ±10%"
"R1","4R7","TopLayer","RESC0603X03L_C","107.4674","42.7736","360","Resistor, ±1%, 0.05W"
"X1","32MHz","TopLayer","BT-XTAL_2016","123.2026","40.9638","90","XTAL SMD 2016, 32MHz, Cl=8pF, ±40ppm, -40°C ~ 105°C"
"X2","32.768kHz","TopLayer","XTAL_2012","107.3404","39.8272","270","XTAL SMD 2012, 32.768kHz, Cl=9pF, Total Tol: ±50ppm"
"U21","74LVC1G11","TopLayer","SOT65P210X100-6N","21.6662","10.4140","270","Single 3-input AND gate"
"R72","1M0","TopLayer","RESC0603X03L_C","22.6314","12.8524","360","Resistor, ±1%, 0.05W"
"R71","100k","TopLayer","RESC0603X03L_C","19.4310","14.7066","270","Resistor, ±1%, 0.05W"
"Q10","PMCPB5530","TopLayer","PMCPB5530X","22.9512","14.3562","270","Mosfet Array N and P-Channel 20V 4A (Ta), 3.4A (Ta) 490mW Surface Mount 6-HUSON-EP (2x2)"
"C71","100nF","TopLayer","CAPC0603X03L_C","21.9456","8.4074","180","Capacitor, X5R, ±10%"
"R24","0R","TopLayer","RESC0603X03L_C","71.8820","42.5450","270","Resistor, ±5%, 0.05W"
"R20","0R","TopLayer","RESC0603X03L_C","72.4408","42.5450","270","Resistor, ±5%, 0.05W"
"C28","N.C.","TopLayer","CAPC0603X03L_C","71.8820","41.4528","90","Not mounted"
"C29","N.C.","TopLayer","CAPC0603X03L_C","72.4408","41.4528","90","Not mounted"
"R49","4k7","TopLayer","RESC0603X03L_C","74.4474","16.5100","90","Resistor, ±1%, 0.05W"
"R48","4k7","TopLayer","RESC0603X03L_C","73.8886","19.9898","270","Resistor, ±1%, 0.05W"
"U22","SC728CSTRT","TopLayer","BGA4C40P2X2_76X76X62","27.4828","30.3530","270","Semtech, 2A Low Vin, Very Low Ron, Load Switch, 4DSBGA"
